id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
6NrxYQ8XG0ahSnBwo2IHK8,0.069,0.475,0.716,0.000113,0.156,-5.999,0.036,162.927,0.457
49MuxK9wgX55vKeTdohEzc,0.349,0.802,0.664,0.00328,0.0841,-8.043,0.0328,104.065,0.871
2zwNgrjZDNeYOSwFp2OVid,0.994,0.461,0.0299,0.93,0.109,-27.119,0.0531,124.41,0.198
6vlri882MDUqlA7n2XWWzd,0.348,0.813,0.431,0.942,0.0857,-18.421,0.222,122.5,0.455
1y1ZAUNwZsiiWE7zIc7oAa,0.387,0.869,0.375,0.0,0.16,-8.682,0.179,91.989,0.57
3jPCKU1tGMcKtAn7a9k9GW,0.603,0.753,0.517,9.52e-06,0.229,-8.867,0.0519,110.098,0.453
4AdEId7iTSaADarHjqIXvT,0.446,0.762,0.698,0.00297,0.114,-11.633,0.0398,119.997,0.752
0OJzFLposMXdRHIHiWq28a,0.124,0.756,0.41,0.0,0.1,-11.285,0.0874,95.011,0.519
7J423Z5hhSEEacJJxccKQs,0.799,0.482,0.813,0.848,0.268,-6.841,0.0479,169.99,0.82
2KQhLhf8v7soTvYY57mXJ3,0.876,0.511,0.662,0.879,0.0752,-8.154,0.0378,128.021,0.651
7ifVREebWYQGxoGzD9dsfz,0.134,0.685,0.201,0.659,0.0849,-16.162,0.0873,140.608,0.815
2qudLQVpY4JV1eq7ned5v1,0.353,0.596,0.501,6.02e-06,0.29,-11.803,0.0395,136.552,0.745
4rpCNRaK1dZ74rVZjjQ3b5,0.0329,0.758,0.476,0.00981,0.154,-10.835,0.0739,168.062,0.581
23Wo5qIXzzsjVvhhly73ES,0.516,0.556,0.429,0.62,0.313,-14.166,0.116,106.339,0.228
1DDyZ0byKrVam5d0qFP1p1,0.424,0.622,0.258,4.92e-06,0.188,-17.272,0.0805,114.378,0.613
21F9vsmA1TewwL4JwfZqel,0.638,0.681,0.586,0.000294,0.146,-10.419,0.0631,119.907,0.887
5JKROH0adDtShmUNFqjhVb,0.0587,0.749,0.377,0.00104,0.188,-14.753,0.0516,117.724,0.683
2jHdpoUfgb1fALKARNCm9D,0.539,0.518,0.702,0.163,0.0881,-6.481,0.0662,81.144,0.522
0zwL0IxW2DWeXtfN8PmlzV,0.729,0.734,0.68,0.00714,0.109,-7.094,0.0386,94.62,0.826
0uGNP50Yy8ietIDr4XNzwi,0.934,0.224,0.113,3.81e-06,0.0553,-15.612,0.0476,142.263,0.0671
0oRpF1YEmbG5nlXNfu7v40,0.876,0.686,0.112,5.27e-06,0.112,-17.106,0.0484,115.476,0.217
2M4sIaltIozH0mklHb6vko,0.0661,0.39,0.876,0.0051,0.953,-7.064,0.154,101.099,0.913
7FJMdtMJaSn9FFXTNY8sIh,0.262,0.811,0.912,4.69e-05,0.0828,-7.734,0.12,125.701,0.814
3eGc4XGFtJQBqUzINQ1mpq,0.499,0.811,0.655,3.29e-05,0.123,-8.299,0.064,111.973,0.806
1sGpjDlrzobaQW6nUPmVIR,0.932,0.304,0.0962,0.987,0.0767,-25.51,0.0667,68.205,0.0481
45p0MAVey0dnjZXo8kMUzh,0.868,0.803,0.373,0.0266,0.104,-13.692,0.0367,124.921,0.636
6mt99V7JMpSsVAncEAp4sV,0.106,0.654,0.687,0.021,0.187,-7.628,0.0485,106.015,0.036
1LIEUXGvj68507oDhvInm8,0.221,0.461,0.391,0.879,0.0763,-10.292,0.0265,82.376,0.0389
63FmCXIc4lmEq9fNqGkQ57,0.463,0.617,0.849,0.516,0.116,-10.123,0.165,135.277,0.521
2MgufCKlDELms5BSqaIcp1,0.54,0.722,0.387,0.918,0.18,-13.84,0.0566,151.988,0.243
7Jd0MqZq15T4pDWts2G6Yl,0.987,0.324,0.0379,0.907,0.0756,-25.247,0.0554,120.169,0.0383
4QAslghrKrs38Fj7C81nuP,0.912,0.441,0.311,0.882,0.0718,-11.638,0.0285,110.554,0.0433
2XvScbb7Qt8IWBrPP7tx0W,0.899,0.247,0.359,0.959,0.0889,-17.171,0.0403,75.533,0.106
7e0HabMAjQEYduI1qfYS5r,0.56,0.401,0.186,0.929,0.0821,-23.161,0.0362,99.995,0.0339
1ph6Bncj7s3BmYp6FkIzP8,0.948,0.542,0.134,0.931,0.152,-22.526,0.0367,126.954,0.216
0M0hWgxkzxDeejWNsJ7rwM,0.822,0.166,0.233,0.896,0.0912,-16.658,0.0412,128.681,0.0294
50mwGp3PgKoZldhBvfy2cf,0.989,0.115,0.00151,0.82,0.112,-36.995,0.0454,69.634,0.0298
1ZsVFKysSROWBWZX3ZG1Gu,0.72,0.592,0.261,0.928,0.729,-13.989,0.0285,107.975,0.0548
6RrehqfwNTkuQiWu0WNf3X,0.972,0.0671,0.00857,0.888,0.253,-44.809,0.129,78.448,0.0395
0R8KuL4OaQtPsEdMInoy4R,0.0707,0.587,0.614,0.785,0.133,-7.267,0.0295,90.019,0.0531
3ZzhV6JIDKWvWR7wiKWD0C,0.436,0.516,0.737,0.678,0.392,-8.189,0.0362,79.852,0.547
4YvnrZMF1VmTAZIJlBhvCg,0.513,0.708,0.735,0.857,0.0804,-14.889,0.0524,147.984,0.413
2LxEIWrZkzfc55c3rk05DH,0.0767,0.21,0.155,0.762,0.352,-25.255,0.0349,96.349,0.0379
